id,index,name,variant,filename,audio_path,duration_sec,bpm,key,energy,loudness,duration,family,tags
153_Hollow_A,153,Hollow,A,153_Hollow.m4a,/assets/media/audio/153_Hollow.m4a,136.0,117.5,G,0.1628,-315.36,,,
154_Serein_B,154,Serein,B,154_Serein.m4a,/assets/media/audio/154_Serein.m4a,112.0,117.5,G,0.1319,-351.93,,,
155_Serein_A,155,Serein,A,155_Serein.m4a,/assets/media/audio/155_Serein.m4a,121.32,89.1,C#,0.1105,-382.67,,,
156_Vulnerable_B,156,Vulnerable,B,156_Vulnerable.m4a,/assets/media/audio/156_Vulnerable.m4a,121.4,86.1,G,0.096,-407.14,,,
157_Vulnerable_A,157,Vulnerable,A,157_Vulnerable.m4a,/assets/media/audio/157_Vulnerable.m4a,114.36,89.1,D,0.1152,-375.46,,,
158_Resigned_B,158,Resigned,B,158_Resigned.m4a,/assets/media/audio/158_Resigned.m4a,83.12,123.0,E,0.1388,-343.08,,,
159_Resigned_A,159,Resigned,A,159_Resigned.m4a,/assets/media/audio/159_Resigned.m4a,106.64,89.1,C,0.1361,-346.48,,,
160_Poignant_B,160,Poignant,B,160_Poignant.m4a,/assets/media/audio/160_Poignant.m4a,132.48,89.1,C#,0.148,-331.91,,,
161_Poignant_A,161,Poignant,A,161_Poignant.m4a,/assets/media/audio/161_Poignant.m4a,134.96,86.1,Bb,0.1308,-353.41,,,
162_Remorseful_B,162,Remorseful,B,162_Remorseful.m4a,/assets/media/audio/162_Remorseful.m4a,113.6,71.8,Ab,0.1191,-369.68,,,
163_Remorseful_A,163,Remorseful,A,163_Remorseful.m4a,/assets/media/audio/163_Remorseful.m4a,122.0,129.2,C#,0.1019,-396.77,,,
164_Yearning_B,164,Yearning,B,164_Yearning.m4a,/assets/media/audio/164_Yearning.m4a,142.4,172.3,Bb,0.1108,-382.18,,,
165_Yearning_A,165,Yearning,A,165_Yearning.m4a,/assets/media/audio/165_Yearning.m4a,85.76,80.7,G,0.1497,-329.94,,,
166_Submerged_B,166,Submerged,B,166_Submerged.m4a,/assets/media/audio/166_Submerged.m4a,135.8,117.5,F#,0.1586,-319.85,,,
167_Submerged_A,167,Submerged,A,167_Submerged.m4a,/assets/media/audio/167_Submerged.m4a,127.96,89.1,Bb,0.1506,-328.93,,,
168_Wistful_B,168,Wistful,B,168_Wistful.m4a,/assets/media/audio/168_Wistful.m4a,129.96,161.5,F,0.1306,-353.63,,,
169_Wistful_A,169,Wistful,A,169_Wistful.m4a,/assets/media/audio/169_Wistful.m4a,126.64,89.1,Eb,0.1366,-345.85,,,
170_Bittersweet_B,170,Bittersweet,B,170_Bittersweet.m4a,/assets/media/audio/170_Bittersweet.m4a,219.72,80.7,Ab,0.155,-323.83,,,
171_Bittersweet_A,171,Bittersweet,A,171_Bittersweet.m4a,/assets/media/audio/171_Bittersweet.m4a,112.72,129.2,F#,0.1319,-351.85,,,
172_Introspective_B,172,Introspective,B,172_Introspective.m4a,/assets/media/audio/172_Introspective.m4a,99.96,123.0,Bb,0.1276,-357.65,,,
173_Introspective_A,173,Introspective,A,173_Introspective.m4a,/assets/media/audio/173_Introspective.m4a,126.0,136.0,F,0.1242,-362.42,,,
174_Languid_B,174,Languid,B,174_Languid.m4a,/assets/media/audio/174_Languid.m4a,97.52,161.5,F#,0.1446,-335.94,,,
175_Languid_A,175,Languid,A,175_Languid.m4a,/assets/media/audio/175_Languid.m4a,112.88,152.0,Bb,0.1123,-379.86,,,
176_Subdued_B,176,Subdued,B,176_Subdued.m4a,/assets/media/audio/176_Subdued.m4a,97.28,172.3,B,0.1237,-363.12,,,
177_Subdued_A,177,Subdued,A,177_Subdued.m4a,/assets/media/audio/177_Subdued.m4a,60.8,161.5,C,0.1041,-392.95,,,
178_Hazy_B,178,Hazy,B,178_Hazy.m4a,/assets/media/audio/178_Hazy.m4a,134.0,172.3,Eb,0.16,-318.3,,,
179_Hazy_A,179,Hazy,A,179_Hazy.m4a,/assets/media/audio/179_Hazy.m4a,143.6,161.5,F,0.1307,-353.46,,,
180_Reflective_B,180,Reflective,B,180_Reflective.m4a,/assets/media/audio/180_Reflective.m4a,129.88,78.3,F,0.1328,-350.74,,,
181_Reflective_A,181,Reflective,A,181_Reflective.m4a,/assets/media/audio/181_Reflective.m4a,144.12,152.0,G,0.1476,-332.38,,,
182_Melancholy_B,182,Melancholy,B,182_Melancholy.m4a,/assets/media/audio/182_Melancholy.m4a,128.96,80.7,F,0.1454,-334.96,,,
183_Melancholy_A,183,Melancholy,A,183_Melancholy.m4a,/assets/media/audio/183_Melancholy.m4a,131.16,92.3,Bb,0.1386,-343.29,,,
184_Lonely_B,184,Lonely,B,184_Lonely.m4a,/assets/media/audio/184_Lonely.m4a,139.8,172.3,G,0.099,-401.8,,,
185_Lonely_A,185,Lonely,A,185_Lonely.m4a,/assets/media/audio/185_Lonely.m4a,138.92,86.1,C,0.1519,-327.4,,,
186_Sad_B,186,Sad,B,186_Sad.m4a,/assets/media/audio/186_Sad.m4a,45.56,71.8,Bb,0.0632,-479.8,,,
187_Sad_A,187,Sad,A,187_Sad.m4a,/assets/media/audio/187_Sad.m4a,34.24,184.6,Bb,0.0586,-492.96,,,
188_Cosmic_B,188,Cosmic,B,188_Cosmic.m4a,/assets/media/audio/188_Cosmic.m4a,110.68,123.0,C,0.1322,-351.45,,,
189_Cosmic_A,189,Cosmic,A,189_Cosmic.m4a,/assets/media/audio/189_Cosmic.m4a,123.0,161.5,F#,0.1607,-317.54,,,
190_Transcendent_B,190,Transcendent,B,190_Transcendent.m4a,/assets/media/audio/190_Transcendent.m4a,138.2,99.4,F,0.112,-380.37,,,
191_Transcendent_A,191,Transcendent,A,191_Transcendent.m4a,/assets/media/audio/191_Transcendent.m4a,137.52,80.7,Eb,0.1867,-291.56,,,
192_Surreal_B,192,Surreal,B,192_Surreal.m4a,/assets/media/audio/192_Surreal.m4a,66.12,89.1,A,0.149,-330.68,,,
193_Surreal_A,193,Surreal,A,193_Surreal.m4a,/assets/media/audio/193_Surreal.m4a,89.32,89.1,Bb,0.1163,-373.72,,,
194_Hallucinatory_B,194,Hallucinatory,B,194_Hallucinatory.m4a,/assets/media/audio/194_Hallucinatory.m4a,122.76,161.5,C#,0.1607,-317.57,,,
