id,index,name,variant,filename,audio_path,mood_group,color,bpm,key,energy,duration,family,tags
084_Nurturing_B,084,Nurturing,B,084_Nurturing.m4a,/assets/media/audio/084_Nurturing.m4a,,,,,,,,
085_Calm_A,085,Calm,A,085_Calm.m4a,/assets/media/audio/085_Calm.m4a,,,,,,,,
086_Calm_B,086,Calm,B,086_Calm.m4a,/assets/media/audio/086_Calm.m4a,,,,,,,,
087_Satiated_A,087,Satiated,A,087_Satiated.m4a,/assets/media/audio/087_Satiated.m4a,,,,,,,,
088_Satiated_B,088,Satiated,B,088_Satiated.m4a,/assets/media/audio/088_Satiated.m4a,,,,,,,,
089_Gentle_A,089,Gentle,A,089_Gentle.m4a,/assets/media/audio/089_Gentle.m4a,,,,,,,,
090_Gentle_B,090,Gentle,B,090_Gentle.m4a,/assets/media/audio/090_Gentle.m4a,,,,,,,,
091_Untroubled_A,091,Untroubled,A,091_Untroubled.m4a,/assets/media/audio/091_Untroubled.m4a,,,,,,,,
092_Untroubled_B,092,Untroubled,B,092_Untroubled.m4a,/assets/media/audio/092_Untroubled.m4a,,,,,,,,
093_Content_A,093,Content,A,093_Content.m4a,/assets/media/audio/093_Content.m4a,,,,,,,,
094_Content_B,094,Content,B,094_Content.m4a,/assets/media/audio/094_Content.m4a,,,,,,,,
095_Comfortable_A,095,Comfortable,A,095_Comfortable.m4a,/assets/media/audio/095_Comfortable.m4a,,,,,,,,
096_Comfortable_B,096,Comfortable,B,096_Comfortable.m4a,/assets/media/audio/096_Comfortable.m4a,,,,,,,,
097_Paranoid_A,097,Paranoid,A,097_Paranoid.m4a,/assets/media/audio/097_Paranoid.m4a,,,,,,,,
098_Paranoid_B,098,Paranoid,B,098_Paranoid.m4a,/assets/media/audio/098_Paranoid.m4a,,,,,,,,
099_Alienated_A,099,Alienated,A,099_Alienated.m4a,/assets/media/audio/099_Alienated.m4a,,,,,,,,
100_Alienated_B,100,Alienated,B,100_Alienated.m4a,/assets/media/audio/100_Alienated.m4a,,,,,,,,
101_Disoriented_A,101,Disoriented,A,101_Disoriented.m4a,/assets/media/audio/101_Disoriented.m4a,,,,,,,,
102_Disoriented_B,102,Disoriented,B,102_Disoriented.m4a,/assets/media/audio/102_Disoriented.m4a,,,,,,,,
103_Fearful_A,103,Fearful,A,103_Fearful.m4a,/assets/media/audio/103_Fearful.m4a,,,,,,,,
104_Fearful_B,104,Fearful,B,104_Fearful.m4a,/assets/media/audio/104_Fearful.m4a,,,,,,,,
105_Hypnotic_A,105,Hypnotic,A,105_Hypnotic.m4a,/assets/media/audio/105_Hypnotic.m4a,,,,,,,,
106_Hypnotic_B,106,Hypnotic,B,106_Hypnotic.m4a,/assets/media/audio/106_Hypnotic.m4a,,,,,,,,
107_Haunting_A,107,Haunting,A,107_Haunting.m4a,/assets/media/audio/107_Haunting.m4a,,,,,,,,
108_Haunting_B,108,Haunting,B,108_Haunting.m4a,/assets/media/audio/108_Haunting.m4a,,,,,,,,
109_Uncanny_A,109,Uncanny,A,109_Uncanny.m4a,/assets/media/audio/109_Uncanny.m4a,,,,,,,,
110_Uncanny_B,110,Uncanny,B,110_Uncanny.m4a,/assets/media/audio/110_Uncanny.m4a,,,,,,,,
111_Eerie_A,111,Eerie,A,111_Eerie.m4a,/assets/media/audio/111_Eerie.m4a,,,,,,,,
112_Eerie_B,112,Eerie,B,112_Eerie.m4a,/assets/media/audio/112_Eerie.m4a,,,,,,,,
113_Shadowed_A,113,Shadowed,A,113_Shadowed.m4a,/assets/media/audio/113_Shadowed.m4a,,,,,,,,
114_Shadowed_B,114,Shadowed,B,114_Shadowed.m4a,/assets/media/audio/114_Shadowed.m4a,,,,,,,,
115_Dark_A,115,Dark,A,115_Dark.m4a,/assets/media/audio/115_Dark.m4a,,,,,,,,
116_Dark_B,116,Dark,B,116_Dark.m4a,/assets/media/audio/116_Dark.m4a,,,,,,,,
117_Ominous_A,117,Ominous,A,117_Ominous.m4a,/assets/media/audio/117_Ominous.m4a,,,,,,,,
118_Ominous_B,118,Ominous,B,118_Ominous.m4a,/assets/media/audio/118_Ominous.m4a,,,,,,,,
119_Foreboding_A,119,Foreboding,A,119_Foreboding.m4a,/assets/media/audio/119_Foreboding.m4a,,,,,,,,
120_Foreboding_B,120,Foreboding,B,120_Foreboding.m4a,/assets/media/audio/120_Foreboding.m4a,,,,,,,,
121_Suspenseful_A,121,Suspenseful,A,121_Suspenseful.m4a,/assets/media/audio/121_Suspenseful.m4a,,,,,,,,
122_Suspenseful_B,122,Suspenseful,B,122_Suspenseful.m4a,/assets/media/audio/122_Suspenseful.m4a,,,,,,,,
123_Creeping_A,123,Creeping,A,123_Creeping.m4a,/assets/media/audio/123_Creeping.m4a,,,,,,,,
124_Creeping_B,124,Creeping,B,124_Creeping.m4a,/assets/media/audio/124_Creeping.m4a,,,,,,,,
125_Anxious_A,125,Anxious,A,125_Anxious.m4a,/assets/media/audio/125_Anxious.m4a,,,,,,,,
126_Anxious_B,126,Anxious,B,126_Anxious.m4a,/assets/media/audio/126_Anxious.m4a,,,,,,,,
127_Apprehensive_A,127,Apprehensive,A,127_Apprehensive.m4a,/assets/media/audio/127_Apprehensive.m4a,,,,,,,,
128_Apprehensive_B,128,Apprehensive,B,128_Apprehensive.m4a,/assets/media/audio/128_Apprehensive.m4a,,,,,,,,
129_Elusive_A,129,Elusive,A,129_Elusive.m4a,/assets/media/audio/129_Elusive.m4a,,,,,,,,
130_Elusive_B,130,Elusive,B,130_Elusive.m4a,/assets/media/audio/130_Elusive.m4a,,,,,,,,
131_Nervous_A,131,Nervous,A,131_Nervous.m4a,/assets/media/audio/131_Nervous.m4a,,,,,,,,
132_Nervous_B,132,Nervous,B,132_Nervous.m4a,/assets/media/audio/132_Nervous.m4a,,,,,,,,
133_Ephemeral_A,133,Ephemeral,A,133_Ephemeral.m4a,/assets/media/audio/133_Ephemeral.m4a,,,,,,,,
134_Ephemeral_B,134,Ephemeral,B,134_Ephemeral.m4a,/assets/media/audio/134_Ephemeral.m4a,,,,,,,,
135_Uncertain_A,135,Uncertain,A,135_Uncertain.m4a,/assets/media/audio/135_Uncertain.m4a,,,,,,,,
136_Uncertain_B,136,Uncertain,B,136_Uncertain.m4a,/assets/media/audio/136_Uncertain.m4a,,,,,,,,
137_Disquieted_A,137,Disquieted,A,137_Disquieted.m4a,/assets/media/audio/137_Disquieted.m4a,,,,,,,,
138_Disquieted_B,138,Disquieted,B,138_Disquieted.m4a,/assets/media/audio/138_Disquieted.m4a,,,,,,,,
139_Uneasy_A,139,Uneasy,A,139_Uneasy.m4a,/assets/media/audio/139_Uneasy.m4a,,,,,,,,
140_Uneasy_B,140,Uneasy,B,140_Uneasy.m4a,/assets/media/audio/140_Uneasy.m4a,,,,,,,,
141_Unsettled_A,141,Unsettled,A,141_Unsettled.m4a,/assets/media/audio/141_Unsettled.m4a,,,,,,,,
142_Unsettled_B,142,Unsettled,B,142_Unsettled.m4a,/assets/media/audio/142_Unsettled.m4a,,,,,,,,
143_Unfolding_A,143,Unfolding,A,143_Unfolding.m4a,/assets/media/audio/143_Unfolding.m4a,,,,,,,,
144_Anguish_B,144,Anguish,B,144_Anguish.m4a,/assets/media/audio/144_Anguish.m4a,,,,,,,,
145_Anguish_A,145,Anguish,A,145_Anguish.m4a,/assets/media/audio/145_Anguish.m4a,,,,,,,,
146_Somber_B,146,Somber,B,146_Somber.m4a,/assets/media/audio/146_Somber.m4a,,,,,,,,
147_Somber_A,147,Somber,A,147_Somber.m4a,/assets/media/audio/147_Somber.m4a,,,,,,,,
148_Brooding_B,148,Brooding,B,148_Brooding.m4a,/assets/media/audio/148_Brooding.m4a,,,,,,,,
149_Brooding_A,149,Brooding,A,149_Brooding.m4a,/assets/media/audio/149_Brooding.m4a,,,,,,,,
150_Despondent_B,150,Despondent,B,150_Despondent.m4a,/assets/media/audio/150_Despondent.m4a,,,,,,,,
151_Despondent_A,151,Despondent,A,151_Despondent.m4a,/assets/media/audio/151_Despondent.m4a,,,,,,,,
152_Hollow_B,152,Hollow,B,152_Hollow.m4a,/assets/media/audio/152_Hollow.m4a,,,,,,,,
153_Hollow_A,153,Hollow,A,153_Hollow.m4a,/assets/media/audio/153_Hollow.m4a,,,,,,,,
154_Serein_B,154,Serein,B,154_Serein.m4a,/assets/media/audio/154_Serein.m4a,,,,,,,,
155_Serein_A,155,Serein,A,155_Serein.m4a,/assets/media/audio/155_Serein.m4a,,,,,,,,
156_Vulnerable_B,156,Vulnerable,B,156_Vulnerable.m4a,/assets/media/audio/156_Vulnerable.m4a,,,,,,,,
157_Vulnerable_A,157,Vulnerable,A,157_Vulnerable.m4a,/assets/media/audio/157_Vulnerable.m4a,,,,,,,,
158_Resigned_B,158,Resigned,B,158_Resigned.m4a,/assets/media/audio/158_Resigned.m4a,,,,,,,,
159_Resigned_A,159,Resigned,A,159_Resigned.m4a,/assets/media/audio/159_Resigned.m4a,,,,,,,,
160_Poignant_B,160,Poignant,B,160_Poignant.m4a,/assets/media/audio/160_Poignant.m4a,,,,,,,,
161_Poignant_A,161,Poignant,A,161_Poignant.m4a,/assets/media/audio/161_Poignant.m4a,,,,,,,,
162_Remorseful_B,162,Remorseful,B,162_Remorseful.m4a,/assets/media/audio/162_Remorseful.m4a,,,,,,,,
163_Remorseful_A,163,Remorseful,A,163_Remorseful.m4a,/assets/media/audio/163_Remorseful.m4a,,,,,,,,
164_Yearning_B,164,Yearning,B,164_Yearning.m4a,/assets/media/audio/164_Yearning.m4a,,,,,,,,
165_Yearning_A,165,Yearning,A,165_Yearning.m4a,/assets/media/audio/165_Yearning.m4a,,,,,,,,
166_Submerged_B,166,Submerged,B,166_Submerged.m4a,/assets/media/audio/166_Submerged.m4a,,,,,,,,
167_Submerged_A,167,Submerged,A,167_Submerged.m4a,/assets/media/audio/167_Submerged.m4a,,,,,,,,
168_Wistful_B,168,Wistful,B,168_Wistful.m4a,/assets/media/audio/168_Wistful.m4a,,,,,,,,
169_Wistful_A,169,Wistful,A,169_Wistful.m4a,/assets/media/audio/169_Wistful.m4a,,,,,,,,
170_Bittersweet_B,170,Bittersweet,B,170_Bittersweet.m4a,/assets/media/audio/170_Bittersweet.m4a,,,,,,,,
171_Bittersweet_A,171,Bittersweet,A,171_Bittersweet.m4a,/assets/media/audio/171_Bittersweet.m4a,,,,,,,,
172_Introspective_B,172,Introspective,B,172_Introspective.m4a,/assets/media/audio/172_Introspective.m4a,,,,,,,,
173_Introspective_A,173,Introspective,A,173_Introspective.m4a,/assets/media/audio/173_Introspective.m4a,,,,,,,,
174_Languid_B,174,Languid,B,174_Languid.m4a,/assets/media/audio/174_Languid.m4a,,,,,,,,
175_Languid_A,175,Languid,A,175_Languid.m4a,/assets/media/audio/175_Languid.m4a,,,,,,,,
176_Subdued_B,176,Subdued,B,176_Subdued.m4a,/assets/media/audio/176_Subdued.m4a,,,,,,,,
177_Subdued_A,177,Subdued,A,177_Subdued.m4a,/assets/media/audio/177_Subdued.m4a,,,,,,,,
178_Hazy_B,178,Hazy,B,178_Hazy.m4a,/assets/media/audio/178_Hazy.m4a,,,,,,,,
179_Hazy_A,179,Hazy,A,179_Hazy.m4a,/assets/media/audio/179_Hazy.m4a,,,,,,,,
180_Reflective_B,180,Reflective,B,180_Reflective.m4a,/assets/media/audio/180_Reflective.m4a,,,,,,,,
181_Reflective_A,181,Reflective,A,181_Reflective.m4a,/assets/media/audio/181_Reflective.m4a,,,,,,,,
182_Melancholy_B,182,Melancholy,B,182_Melancholy.m4a,/assets/media/audio/182_Melancholy.m4a,,,,,,,,
183_Melancholy_A,183,Melancholy,A,183_Melancholy.m4a,/assets/media/audio/183_Melancholy.m4a,,,,,,,,
184_Lonely_B,184,Lonely,B,184_Lonely.m4a,/assets/media/audio/184_Lonely.m4a,,,,,,,,
185_Lonely_A,185,Lonely,A,185_Lonely.m4a,/assets/media/audio/185_Lonely.m4a,,,,,,,,
186_Sad_B,186,Sad,B,186_Sad.m4a,/assets/media/audio/186_Sad.m4a,,,,,,,,
187_Sad_A,187,Sad,A,187_Sad.m4a,/assets/media/audio/187_Sad.m4a,,,,,,,,
188_Cosmic_B,188,Cosmic,B,188_Cosmic.m4a,/assets/media/audio/188_Cosmic.m4a,,,,,,,,
189_Cosmic_A,189,Cosmic,A,189_Cosmic.m4a,/assets/media/audio/189_Cosmic.m4a,,,,,,,,
190_Transcendent_B,190,Transcendent,B,190_Transcendent.m4a,/assets/media/audio/190_Transcendent.m4a,,,,,,,,
191_Transcendent_A,191,Transcendent,A,191_Transcendent.m4a,/assets/media/audio/191_Transcendent.m4a,,,,,,,,
192_Surreal_B,192,Surreal,B,192_Surreal.m4a,/assets/media/audio/192_Surreal.m4a,,,,,,,,
193_Surreal_A,193,Surreal,A,193_Surreal.m4a,/assets/media/audio/193_Surreal.m4a,,,,,,,,
194_Hallucinatory_B,194,Hallucinatory,B,194_Hallucinatory.m4a,/assets/media/audio/194_Hallucinatory.m4a,,,,,,,,
195_Hallucinatory_A,195,Hallucinatory,A,195_Hallucinatory.m4a,/assets/media/audio/195_Hallucinatory.m4a,,,,,,,,
196_Disorienting_B,196,Disorienting,B,196_Disorienting.m4a,/assets/media/audio/196_Disorienting.m4a,,,,,,,,
197_Disorienting_A,197,Disorienting,A,197_Disorienting.m4a,/assets/media/audio/197_Disorienting.m4a,,,,,,,,
198_Fantastical_B,198,Fantastical,B,198_Fantastical.m4a,/assets/media/audio/198_Fantastical.m4a,,,,,,,,
199_Fantastical_A,199,Fantastical,A,199_Fantastical.m4a,/assets/media/audio/199_Fantastical.m4a,,,,,,,,
200_Wonder_B,200,Wonder,B,200_Wonder.m4a,/assets/media/audio/200_Wonder.m4a,,,,,,,,
201_Wonder_A,201,Wonder,A,201_Wonder.m4a,/assets/media/audio/201_Wonder.m4a,,,,,,,,
202_Dreamlike_B,202,Dreamlike,B,202_Dreamlike.m4a,/assets/media/audio/202_Dreamlike.m4a,,,,,,,,
203_Dreamlike_A,203,Dreamlike,A,203_Dreamlike.m4a,/assets/media/audio/203_Dreamlike.m4a,,,,,,,,
204_Mythic_B,204,Mythic,B,204_Mythic.m4a,/assets/media/audio/204_Mythic.m4a,,,,,,,,
205_Mythic_A,205,Mythic,A,205_Mythic.m4a,/assets/media/audio/205_Mythic.m4a,,,,,,,,
206_Incongruous_B,206,Incongruous,B,206_Incongruous.m4a,/assets/media/audio/206_Incongruous.m4a,,,,,,,,
207_Incongruous_A,207,Incongruous,A,207_Incongruous.m4a,/assets/media/audio/207_Incongruous.m4a,,,,,,,,
208_Luminescent_B,208,Luminescent,B,208_Luminescent.m4a,/assets/media/audio/208_Luminescent.m4a,,,,,,,,
209_Luminescent_A,209,Luminescent,A,209_Luminescent.m4a,/assets/media/audio/209_Luminescent.m4a,,,,,,,,
210_Ethereal_B,210,Ethereal,B,210_Ethereal.m4a,/assets/media/audio/210_Ethereal.m4a,,,,,,,,
211_Ethereal_A,211,Ethereal,A,211_Ethereal.m4a,/assets/media/audio/211_Ethereal.m4a,,,,,,,,
212_Magical_B,212,Magical,B,212_Magical.m4a,/assets/media/audio/212_Magical.m4a,,,,,,,,
213_Magical_A,213,Magical,A,213_Magical.m4a,/assets/media/audio/213_Magical.m4a,,,,,,,,
214_Romantic_B,214,Romantic,B,214_Romantic.m4a,/assets/media/audio/214_Romantic.m4a,,,,,,,,
215_Romantic_A,215,Romantic,A,215_Romantic.m4a,/assets/media/audio/215_Romantic.m4a,,,,,,,,
216_Nostalgic_B,216,Nostalgic,B,216_Nostalgic.m4a,/assets/media/audio/216_Nostalgic.m4a,,,,,,,,
217_Nostalgic_A,217,Nostalgic,A,217_Nostalgic.m4a,/assets/media/audio/217_Nostalgic.m4a,,,,,,,,
218_Beautiful_B,218,Beautiful,B,218_Beautiful.m4a,/assets/media/audio/218_Beautiful.m4a,,,,,,,,
219_Beautiful_A,219,Beautiful,A,219_Beautiful.m4a,/assets/media/audio/219_Beautiful.m4a,,,,,,,,
220_Cinematic_B,220,Cinematic,B,220_Cinematic.m4a,/assets/media/audio/220_Cinematic.m4a,,,,,,,,
221_Cinematic_A,221,Cinematic,A,221_Cinematic.m4a,/assets/media/audio/221_Cinematic.m4a,,,,,,,,
222_Novel_B,222,Novel,B,222_Novel.m4a,/assets/media/audio/222_Novel.m4a,,,,,,,,
223_Novel_A,223,Novel,A,223_Novel.m4a,/assets/media/audio/223_Novel.m4a,,,,,,,,
224_Whimsical_B,224,Whimsical,B,224_Whimsical.m4a,/assets/media/audio/224_Whimsical.m4a,,,,,,,,
225_Whimsical_A,225,Whimsical,A,225_Whimsical.m4a,/assets/media/audio/225_Whimsical.m4a,,,,,,,,
226_Weightless_B,226,Weightless,B,226_Weightless.m4a,/assets/media/audio/226_Weightless.m4a,,,,,,,,
227_Weightless_A,227,Weightless,A,227_Weightless.m4a,/assets/media/audio/227_Weightless.m4a,,,,,,,,
228_Liminal_B,228,Liminal,B,228_Liminal.m4a,/assets/media/audio/228_Liminal.m4a,,,,,,,,
229_Liminal_A,229,Liminal,A,229_Liminal.m4a,/assets/media/audio/229_Liminal.m4a,,,,,,,,
230_Dreamy_B,230,Dreamy,B,230_Dreamy.m4a,/assets/media/audio/230_Dreamy.m4a,,,,,,,,
231_Dreamy_A,231,Dreamy,A,231_Dreamy.m4a,/assets/media/audio/231_Dreamy.m4a,,,,,,,,
232_Unfolding_B,232,Unfolding,B,232_Unfolding.m4a,/assets/media/audio/232_Unfolding.m4a,,,,,,,,
233_Awakening_A,233,Awakening,A,233_Awakening.m4a,/assets/media/audio/233_Awakening.m4a,,,,,,,,
234_Awakening_B,234,Awakening,B,234_Awakening.m4a,/assets/media/audio/234_Awakening.m4a,,,,,,,,
235_Imminent_A,235,Imminent,A,235_Imminent.m4a,/assets/media/audio/235_Imminent.m4a,,,,,,,,
236_Imminent_B,236,Imminent,B,236_Imminent.m4a,/assets/media/audio/236_Imminent.m4a,,,,,,,,
237_Enigmatic_A,237,Enigmatic,A,237_Enigmatic.m4a,/assets/media/audio/237_Enigmatic.m4a,,,,,,,,
